month,quantity,product_real_price,service_score,real_disp_pers_inc,product_stores,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
10-Mar,37513328,0.660104,636,9914.4,656.1113,0,0,1,0,0,0,0,0,0,0,0,0
10-Apr,35741577,0.664204,687,9989.7,657.0285,0,0,0,1,0,0,0,0,0,0,0,0
10-May,33832743,0.677735,583,10050.6,655.4437,0,0,0,0,1,0,0,0,0,0,0,0
10-Jun,39414602,0.673857,536,10062.3,654.7806,0,0,0,0,0,1,0,0,0,0,0,0
10-Jul,36891155,0.667514,546,10054.9,653.1546,0,0,0,0,0,0,1,0,0,0,0,0
10-Aug,40445231,0.67165,599,10079.4,651.9046,0,0,0,0,0,0,0,1,0,0,0,0
10-Sep,33165171,0.696213,594,10055.7,651.6546,0,0,0,0,0,0,0,0,1,0,0,0
10-Oct,30094486,0.688583,543,10065.2,652.3002,0,0,0,0,0,0,0,0,0,1,0,0
10-Nov,27795718,0.684558,545,10076.7,650.635,0,0,0,0,0,0,0,0,0,0,1,0
10-Dec,24694322,0.67772,539,10120.3,648.759,0,0,0,0,0,0,0,0,0,0,0,1
11-Jan,21793089,0.691331,630,10204.5,650.8805,1,0,0,0,0,0,0,0,0,0,0,0
11-Feb,23571222,0.694828,517,10209,645.398,0,1,0,0,0,0,0,0,0,0,0,0
11-Mar,34919424,0.692305,600,10174,643.2329,0,0,1,0,0,0,0,0,0,0,0,0
11-Apr,31963034,0.700491,554,10170.7,642.7675,0,0,0,1,0,0,0,0,0,0,0,0
11-May,33766626,0.699525,561,10147.2,640.9763,0,0,0,0,1,0,0,0,0,0,0,0
11-Jun,39766789,0.72288,608,10155.6,639.2916,0,0,0,0,0,1,0,0,0,0,0,0
11-Jul,31923584,0.729136,623,10148.5,636.77,0,0,0,0,0,0,1,0,0,0,0,0
11-Aug,34778613,0.719567,585,10119.7,632.894,0,0,0,0,0,0,0,1,0,0,0,0
